Lap,stingray,pillow fight,american flyer,mystery machine WI,starz,fette vette,party machine,tub life,lazygt,mini tesla,space trash,mystery machine NY
70,19.442,20.723,26.419,20.635,26.554,22.536,21.156,21.942,19.591,,,
71,91.276,20.323,19.752,20.212,26.426,21.237,20.915,21.261,20.969,,,
72,23.704,21.893,24.409,20.293,24.623,20.301,22.164,21.364,22.573,,,
73,20.006,24.508,17.211,20.065,25.735,20.744,21.24,311.681,19.538,,,
74,19.158,23.317,18.39,25.131,24.352,25.477,24.022,53.005,20.732,,,
75,20.688,22.859,20.439,21.533,24.599,174.62,22.65,68.763,20.363,,,
76,25.737,19.797,24.174,20.57,23.993,21.039,21.669,139.941,22.233,,,
77,21.36,21.493,22.714,20.576,24.366,21.77,20.941,23.458,,,,
78,22.573,20.421,18.935,22.764,24.435,256.02,22.005,268.478,,,,
79,153.739,23.477,18.573,34.68,25.339,20.624,21.84,,,,,
80,21.505,35.873,76.083,20.202,26.708,20.792,,,,,,
81,21.487,24.062,16.603,20.686,25.844,31.892,,,,,,
82,36.577,23.283,22.953,32.133,37.177,41.181,,,,,,
83,20.655,30.868,19.798,24.092,24.288,21.761,,,,,,
84,21.904,24.931,19.15,21.373,24.416,20.237,,,,,,
85,33.201,22.128,20.687,20.929,24.73,167.305,,,,,,
86,24.258,21.652,25.299,23.944,24.46,22.111,,,,,,
87,21.563,27.857,21.372,20.338,24.859,21.826,,,,,,
88,20.947,21.913,19.545,20.94,31.22,172.376,,,,,,
89,27.465,21.51,17.049,20.74,25.194,22.307,,,,,,
90,21.018,22.693,17.439,21.504,25.103,22.317,,,,,,
91,19.35,22.413,18.499,21.386,24.6,21.822,,,,,,
92,22.981,21.78,19.908,20.975,24.722,23.144,,,,,,
93,19.887,28.123,17.747,20.748,24.781,21.532,,,,,,
94,21.675,21.34,23.293,21.111,25.378,22.949,,,,,,
95,24.411,21.508,19.639,20.251,25.529,21.827,,,,,,
96,20.222,22.557,20.982,21.233,24.5,22.297,,,,,,
97,19.62,23.058,21.804,22.097,24.396,21.831,,,,,,
98,19.615,22.436,21.87,21.423,24.695,33.074,,,,,,
99,22.378,21.792,33.602,21.726,24.333,25.101,,,,,,
100,19.803,71.731,22.943,132.19,198.488,22.74,,,,,,
101,20.035,18.808,20.617,31.101,21.297,25.205,,,,,,
102,99.736,18.233,89.863,22.137,21.804,24.568,,,,,,
103,21.557,18.333,633.041,20.883,21.26,23.401,,,,,,
104,20.736,33.887,18.244,19.847,22.367,23.843,,,,,,
105,36.434,22.499,17.979,20.037,22.153,22.922,,,,,,
106,22.665,17.74,18.537,19.975,22.033,23,,,,,,
107,19.489,19.562,16.537,20.316,21.634,22.367,,,,,,
108,19.698,17.35,17.132,20.46,21.536,22.253,,,,,,
109,19.65,17.953,18.949,20.18,22.23,21.933,,,,,,
110,18.719,18.24,19.001,20.009,22.826,22.67,,,,,,
111,18.845,18.356,20.211,19.534,22.535,22.28,,,,,,
112,21.71,17.661,18.924,21.11,21.366,22.526,,,,,,
113,20.436,17.909,23.632,20.262,21.749,22.366,,,,,,
114,19.131,18.001,26.679,20.742,21.793,58.491,,,,,,
115,18.566,20.66,16.569,19.471,31.858,21.084,,,,,,
116,21.73,20.09,19.419,23.076,23.386,20.796,,,,,,
117,21.073,20.234,17.155,19.578,21.552,21.449,,,,,,
118,21.138,20.848,28.251,24.193,23.539,21.088,,,,,,
119,20.918,18.918,21.091,27.779,23.131,21.182,,,,,,
120,22.079,22.754,21.278,20.679,22.902,21.158,,,,,,
121,20.364,17.64,17.74,19.481,23.068,21.473,,,,,,
122,24.05,89.885,17.587,20.778,21.464,21.254,,,,,,
123,28.065,97.739,18.241,23.084,21.472,21.837,,,,,,
124,19.353,24.337,17.419,21.09,22.113,23.051,,,,,,
125,19.352,24.768,19.853,21.377,22.572,24.43,,,,,,
126,23.906,18.506,21.593,20.156,22.354,21.662,,,,,,
127,24.755,20.229,20.495,21.519,21.764,21.563,,,,,,
128,20.368,18.76,19.25,21.193,21.967,21.729,,,,,,
129,22.541,18.502,16.866,19.862,22.038,22.184,,,,,,
130,20.865,23.341,17.293,21.53,21.733,22.993,,,,,,
131,21.048,20.512,17.076,20.024,22.393,22.221,,,,,,
132,20.235,19.235,17.823,66.398,57.118,57.262,,,,,,
133,19.358,18.788,59.798,19.494,28.499,22.572,,,,,,
134,19.457,38.796,20.484,76.482,26.003,22.013,,,,,,
135,19.251,21.284,18.755,49.935,25.807,23.173,,,,,,
136,20.318,21.129,18.998,20.003,25.046,22.228,,,,,,
137,19.169,20.256,21.204,21.749,24.816,22.008,,,,,,
138,20.233,17.32,17.677,19.776,25.26,22.519,,,,,,
139,19.184,20.916,17.064,20.956,25.364,22.418,,,,,,
140,19.438,17.231,19.828,20.447,24.206,24.52,,,,,,
141,86.66,17.553,19.706,20.577,28.803,22.81,,,,,,
142,20.834,19.52,17.408,20.758,27.19,22.549,,,,,,
143,19.402,20.007,19.543,28.375,24.855,22.748,,,,,,
144,19.38,17.14,17.623,20.501,25.066,24.803,,,,,,
145,21.721,19.405,28.263,20.173,23.721,22.317,,,,,,
146,19.384,17.738,23.496,20.555,26.786,22.364,,,,,,
147,19.718,28.278,17.371,20.775,24.525,22.918,,,,,,
148,19.505,24.031,19.242,20.415,24.015,23.207,,,,,,
149,21.908,20.035,20.591,21.005,24.442,24.839,,,,,,
150,19.111,17.393,18.474,21.02,24.904,23,,,,,,
151,26.259,19.821,17.257,21.278,23.754,23.84,,,,,,
152,23.854,19.098,24.596,21.658,25.902,,,,,,,
153,21.134,18.039,22.705,20.676,24.464,,,,,,,
154,19.293,22.968,21.915,21.374,26.417,,,,,,,
